epoch,accuracy,auc,learning_rate,loss,precision,recall,top_2_accuracy,val_accuracy,val_auc,val_loss,val_precision,val_recall,val_top_2_accuracy
0,0.11999999731779099,0.5301038026809692,0.0005000000237487257,11.38308334350586,0.21739129722118378,0.03894080966711044,0.2685714364051819,0.18571428954601288,0.6272448897361755,10.411463737487793,0.0,0.0,0.27142858505249023
1,0.21142856776714325,0.5723255276679993,0.0005000000237487257,10.817214965820312,0.33834585547447205,0.0717703327536583,0.35428571701049805,0.27142858505249023,0.661575973033905,10.172182083129883,0.0,0.0,0.3571428656578064
2,0.2685714364051819,0.6129130125045776,0.0005000000237487257,10.469154357910156,0.4580152630805969,0.09740259498357773,0.38857144117355347,0.2857142984867096,0.7134354114532471,9.896829605102539,1.0,0.02857142873108387,0.41428571939468384
3,0.2857142984867096,0.6134206056594849,0.0005000000237487257,10.166879653930664,0.4354838728904724,0.08695652335882187,0.4571428596973419,0.34285715222358704,0.7451473474502563,9.648919105529785,0.5,0.02857142873108387,0.4571428596973419
4,0.28285714983940125,0.6358155012130737,0.0005000000237487257,9.880903244018555,0.4655172526836395,0.08571428805589676,0.4628571569919586,0.3285714387893677,0.775408148765564,9.382847785949707,0.692307710647583,0.12857143580913544,0.5
5,0.31142857670783997,0.6386590003967285,0.0005000000237487257,9.71932315826416,0.4833333194255829,0.09354838728904724,0.44285714626312256,0.34285715222358704,0.781632661819458,9.20092487335205,0.6111111044883728,0.15714286267757416,0.5285714268684387
6,0.34285715222358704,0.623143196105957,0.0005000000237487257,9.376431465148926,0.5507246255874634,0.12317666411399841,0.5257142782211304,0.3857142925262451,0.7970974445343018,8.954614639282227,0.6190476417541504,0.18571428954601288,0.5714285969734192
7,0.3142857253551483,0.6462569832801819,0.0005000000237487257,9.205385208129883,0.5284552574157715,0.10333863645792007,0.49142858386039734,0.41428571939468384,0.8015759587287903,8.727025985717773,0.695652186870575,0.22857142984867096,0.6142857074737549
8,0.3742857277393341,0.6489438414573669,0.0005000000237487257,8.864238739013672,0.5798319578170776,0.10917721688747406,0.5885714292526245,0.3571428656578064,0.8181972503662109,8.528057098388672,0.5925925970077515,0.22857142984867096,0.5857142806053162
9,0.35428571701049805,0.6460373401641846,0.0005000000237487257,8.740718841552734,0.5504587292671204,0.09819967299699783,0.5057142972946167,0.37142857909202576,0.8158050179481506,8.368947982788086,0.6428571343421936,0.2571428716182709,0.5571428537368774
10,0.3199999928474426,0.633102297782898,0.0005000000237487257,8.457945823669434,0.5378151535987854,0.10110584646463394,0.5514285564422607,0.41428571939468384,0.8231632709503174,8.130221366882324,0.6666666865348816,0.2857142984867096,0.5428571701049805
11,0.3742857277393341,0.6519888043403625,0.0005000000237487257,8.279440879821777,0.5692307949066162,0.12032520025968552,0.5514285564422607,0.41428571939468384,0.8266212940216064,7.943558216094971,0.6666666865348816,0.2571428716182709,0.5571428537368774
12,0.37142857909202576,0.6438395977020264,0.0005000000237487257,8.040791511535645,0.6532257795333862,0.13064515590667725,0.5371428728103638,0.4000000059604645,0.8163605332374573,7.7873945236206055,0.699999988079071,0.30000001192092896,0.5714285969734192
13,0.41428571939468384,0.6681478023529053,0.0005000000237487257,7.814516067504883,0.6727272868156433,0.1169036328792572,0.5828571319580078,0.4000000059604645,0.8234354257583618,7.589876651763916,0.6363636255264282,0.30000001192092896,0.5571428537368774
14,0.41428571939468384,0.6559497714042664,0.0005000000237487257,7.629369258880615,0.6578947305679321,0.11700467765331268,0.545714259147644,0.3857142925262451,0.8332199454307556,7.38506555557251,0.5806451439857483,0.2571428716182709,0.5857142806053162
15,0.4342857003211975,0.675834059715271,0.0005000000237487257,7.44131326675415,0.6271186470985413,0.11764705926179886,0.5885714292526245,0.4285714328289032,0.8339682221412659,7.2169084548950195,0.6000000238418579,0.2571428716182709,0.6142857074737549
16,0.39714285731315613,0.6777731776237488,0.0005000000237487257,7.27130651473999,0.686956524848938,0.12783171236515045,0.5799999833106995,0.3857142925262451,0.8316893577575684,7.047595024108887,0.6785714030265808,0.27142858505249023,0.5571428537368774
17,0.43142858147621155,0.6834346055984497,0.0005000000237487257,7.0550103187561035,0.6194690465927124,0.11382114142179489,0.6000000238418579,0.41428571939468384,0.8289569616317749,6.882260322570801,0.7407407164573669,0.2857142984867096,0.5714285969734192
18,0.4228571355342865,0.6590859889984131,0.0005000000237487257,6.91166353225708,0.6793892979621887,0.14262820780277252,0.5742856860160828,0.3571428656578064,0.8129478693008423,6.774850845336914,0.6428571343421936,0.2571428716182709,0.48571428656578064
19,0.4342857003211975,0.650619626045227,0.0005000000237487257,6.751297950744629,0.6851851940155029,0.11671924591064453,0.6142857074737549,0.44285714626312256,0.8121315240859985,6.596467971801758,0.6666666865348816,0.2571428716182709,0.5571428537368774
